Name,Dataset,ECE,FlipRate,Precision,Recall
CIFAR-100 MKL (k=1.5),cifar100,0.0852,0.1270,0.8821,0.8821
CIFAR-100 RHO (sel=0.4),cifar100,0.1018,0.1177,0.8917,0.8917
"CIFAR-100 HASA (T=15, k=0.8)",cifar100,0.0828,0.1184,0.8562,0.8562
CIFAR-100 MKL (k=1.25),cifar100,0.0485,0.1119,0.8719,0.8719
CIFAR-100 Standard SGD,cifar100,0.1959,0.1326,0.8275,0.8275
"CIFAR-100 HASA (T=10, k=0.8)",cifar100,0.0789,0.1214,0.8535,0.8535
"CIFAR-100 HASA (T=10, k=0.9)",cifar100,0.1307,0.1286,0.8434,0.8434
"CIFAR-100 HASA (T=5, k=0.9)",cifar100,0.1742,0.1142,0.8453,0.8453
CLOUD MKL (k=1.25),cloud,0.3428,0.0000,,
"CLOUD HASA (T=15, k=0.7)",cloud,0.3167,0.0026,,
"CLOUD HASA (T=10, k=0.7)",cloud,0.5571,0.0130,,
"CLOUD HASA (T=10, k=0.9)",cloud,0.5062,0.0078,,
CLOUD MKL (k=2.0),cloud,0.4710,0.0469,,
CLOUD Standard SGD,cloud,0.3436,0.0026,,
"CLOUD HASA (T=10, k=0.8)",cloud,0.3869,0.0104,,
"CLOUD HASA (T=5, k=0.8)",cloud,0.4638,0.0260,,
MNIST Standard SGD,mnist,0.0047,0.0006,,
"MNIST HASA (T=10, k=0.5)",mnist,0.0369,0.0010,,
"MNIST HASA (T=10, k=0.6)",mnist,0.0246,0.0012,,
"MNIST HASA (T=10, k=0.8)",mnist,0.0132,0.0004,,
"MNIST HASA (T=10, k=0.7)",mnist,0.0243,0.0006,,
"MNIST HASA (T=10, k=0.9)",mnist,0.0109,0.0003,,
"MNIST HASA (T=5, k=0.9)",mnist,0.0087,0.0010,,
